,uid,video,audio,label,center,pred,posScore
94,94,speaker256_0002,speaker256_0002,1,15,1,0.94098884
95,95,speaker184_0017,speaker184_0017,1,72,0,0.3833803
96,96,speaker141_0000,speaker141_0000,1,53,0,0.31515175
97,97,speaker018_0001,speaker018_0001,1,34,1,0.7594578
98,98,speaker147_0001,speaker147_0001,0,26,0,0.9986775058
99,99,speaker110_0000,speaker090_0000,0,10,0,0.8399524700000001
100,100,speaker106_0003,speaker106_0003,0,24,0,0.9993649059
101,101,speaker164_0001,speaker164_0001,1,2,1,0.97464573
102,102,speaker144_0000,speaker144_0000,1,55,1,0.8121095
103,103,speaker112_0001,speaker112_0001,1,82,1,0.88561934
104,104,speaker018_0015,speaker018_0015,1,52,1,0.95230865
105,105,speaker141_0003,speaker141_0003,0,25,0,0.95773935
106,106,speaker295_0002,speaker295_0002,0,35,0,0.6114976999999999
107,107,speaker134_0002,speaker235_0002,0,23,0,0.99952866047
108,108,speaker066_0013,speaker066_0013,1,52,1,0.87067777
109,109,speaker218_0009,speaker257_0006,0,65,0,0.81135158
110,110,speaker247_0001,speaker247_0001,1,50,1,0.9791473
111,111,speaker230_0005,speaker230_0005,1,81,1,0.8548636
112,112,speaker300_0000,speaker300_0000,0,69,0,0.991205782
113,113,speaker069_0002,speaker069_0001,0,190,0,0.6749175000000001
114,114,speaker064_0001,speaker064_0001,1,53,1,0.8798207
115,115,speaker135_0000,speaker135_0000,0,27,0,0.52792785
116,116,speaker319_0003,speaker319_0003,0,19,0,0.9984300984
117,117,speaker068_0013,speaker068_0013,1,2,1,0.9789064
118,118,speaker144_0003,speaker144_0003,1,21,1,0.8704093
119,119,speaker298_0007,speaker298_0007,1,27,0,0.23839678
120,120,speaker193_0001,speaker193_0001,1,45,1,0.8055229
121,121,speaker205_0001,speaker282_0010,0,12,0,0.93923973
122,122,speaker247_0000,speaker247_0000,1,7,1,0.96496105
123,123,speaker267_0000,speaker267_0000,0,43,1,0.52369642
124,124,speaker150_0001,speaker268_0002,0,58,0,0.99909105344
125,125,speaker189_0003,speaker189_0006,0,113,1,0.36089914999999995
126,126,speaker106_0002,speaker106_0002,1,54,1,0.92753637
127,127,speaker016_0009,speaker016_0009,1,122,1,0.5124948
128,128,speaker164_0003,speaker164_0003,1,28,1,0.9884501
129,129,speaker287_0002,speaker287_0002,1,92,1,0.95336896
130,130,speaker247_0001,speaker247_0001,1,22,1,0.8376211
131,131,speaker184_0005,speaker184_0019,0,49,0,0.99955824367
132,132,speaker163_0004,speaker306_0002,0,64,0,0.81805712
133,133,speaker039_0000,speaker039_0000,1,29,1,0.88980156
134,134,speaker184_0005,speaker159_0000,0,25,0,0.9987985542
135,135,speaker062_0002,speaker057_0032,0,4,1,0.31651949999999995
136,136,speaker210_0002,speaker210_0002,1,23,0,0.42898366
137,137,speaker150_0002,speaker150_0000,0,33,0,0.9978909758
138,138,speaker300_0000,speaker300_0000,0,67,0,0.89899471
139,139,speaker285_0005,speaker285_0005,1,48,0,0.04109853
140,140,speaker210_0000,speaker210_0000,0,51,0,0.983457658
141,141,speaker138_0030,speaker283_0004,0,38,0,0.95351491
142,142,speaker146_0002,speaker146_0002,1,36,0,0.20486468
143,143,speaker218_0005,speaker218_0005,0,14,0,0.9992349236
144,144,speaker297_0005,speaker297_0005,1,24,1,0.9047092
145,145,speaker198_0001,speaker198_0001,1,21,1,0.81737274
146,146,speaker193_0000,speaker193_0000,1,25,1,0.71178555
147,147,speaker291_0003,speaker291_0003,0,46,0,0.9982781779
148,148,speaker310_0008,speaker310_0004,0,19,1,0.24209802999999996
149,149,speaker201_0000,speaker201_0000,1,13,0,0.16406998
150,150,speaker118_0000,speaker118_0000,0,12,0,0.8704503299999999
151,151,speaker136_0001,speaker103_0004,0,17,0,0.8345041
152,152,speaker328_0001,speaker328_0001,1,36,1,0.8772227
153,153,speaker127_0001,speaker127_0001,0,46,0,0.89147275
154,154,speaker256_0000,speaker116_0000,0,103,0,0.9982175534
155,155,speaker235_0001,speaker235_0001,1,59,1,0.9601208
156,156,speaker046_0005,speaker046_0005,1,34,1,0.8089178
157,157,speaker319_0000,speaker319_0003,0,165,0,0.9984704077
158,158,speaker232_0002,speaker232_0003,0,13,1,0.19165920000000003
159,159,speaker212_0010,speaker212_0010,1,104,1,0.83433807
160,160,speaker168_0001,speaker168_0001,1,7,1,0.98096615
161,161,speaker201_0008,speaker201_0008,1,123,1,0.74693453
162,162,speaker184_0003,speaker112_0000,0,33,0,0.9979851039
163,163,speaker328_0003,speaker328_0003,1,2,1,0.9792851
164,164,speaker134_0000,speaker134_0000,0,43,0,0.9993957076
165,165,speaker314_0013,speaker314_0005,0,36,0,0.9983030738
166,166,speaker135_0000,speaker146_0000,0,58,0,0.9965823388
167,167,speaker112_0000,speaker112_0000,1,137,1,0.9949434
168,168,speaker261_0000,speaker261_0000,0,12,0,0.99929781037
169,169,speaker212_0016,speaker298_0001,0,43,0,0.989242798
170,170,speaker174_0004,speaker174_0004,0,34,0,0.992079272
171,171,speaker224_0008,speaker224_0028,0,5,0,0.99927227054
172,172,speaker069_0001,speaker069_0001,1,52,0,0.3010177
173,173,speaker052_0003,speaker052_0003,0,95,0,0.983473051
174,174,speaker270_0008,speaker270_0008,1,208,1,0.98640764
175,175,speaker306_0001,speaker306_0001,1,55,0,0.067207985
176,176,speaker210_0002,speaker126_0001,0,1,0,0.9994434145
177,177,speaker314_0010,speaker314_0011,0,29,0,0.922599144
178,178,speaker278_0000,speaker235_0000,0,36,0,0.990196971
179,179,speaker285_0001,speaker285_0002,0,53,0,0.79339476
180,180,speaker134_0003,speaker263_0001,0,48,0,0.9990119362
181,181,speaker273_0004,speaker273_0004,0,10,0,0.5735607
182,182,speaker139_0011,speaker318_0000,0,2,0,0.9994094659
183,183,speaker249_0000,speaker249_0000,1,6,1,0.9827582
184,184,speaker113_0000,speaker113_0000,1,15,1,0.5346152
185,185,speaker073_0000,speaker073_0000,1,66,0,0.10157654
186,186,speaker311_0000,speaker311_0000,0,8,0,0.98918047
187,187,speaker018_0010,speaker305_0002,0,17,0,0.903743654
188,188,speaker134_0000,speaker134_0000,0,35,0,0.998471535
189,189,speaker303_0004,speaker303_0004,1,10,1,0.91153884
190,190,speaker116_0000,speaker116_0000,1,0,1,0.976949
191,191,speaker048_0009,speaker048_0007,0,28,0,0.9975276
192,192,speaker305_0000,speaker305_0000,1,86,1,0.95626754
193,193,speaker111_0000,speaker111_0000,1,26,0,0.16003993
194,194,speaker077_0001,speaker077_0002,0,38,0,0.84120196
195,195,speaker210_0000,speaker210_0000,1,109,1,0.93864155
196,196,speaker302_0001,speaker302_0001,1,41,1,0.52489763
197,197,speaker004_0006,speaker004_0006,1,127,1,0.9670387
198,198,speaker141_0003,speaker141_0003,1,32,0,0.41045117
199,199,speaker321_0003,speaker321_0003,1,36,0,0.12227608
200,200,speaker257_0003,speaker257_0003,0,165,0,0.909759894
201,201,speaker134_0002,speaker234_0006,0,9,0,0.9971813445
202,202,speaker207_0000,speaker074_0011,0,43,1,0.39872617
203,203,speaker049_0016,speaker049_0016,1,57,1,0.9293767
204,204,speaker278_0000,speaker278_0001,0,61,0,0.9994993022
205,205,speaker305_0001,speaker305_0001,1,18,1,0.5645086
206,206,speaker164_0006,speaker164_0004,0,0,0,0.9994552142
207,207,speaker242_0000,speaker242_0000,1,18,0,0.1852187
208,208,speaker155_0003,speaker155_0003,0,16,0,0.9984049731
209,209,speaker127_0002,speaker127_0002,1,24,1,0.7221631
210,210,speaker295_0001,speaker295_0001,1,92,1,0.96630216
211,211,speaker249_0000,speaker249_0000,1,19,1,0.8572583
212,212,speaker074_0026,speaker074_0010,0,37,1,0.46425985999999997
213,213,speaker285_0002,speaker285_0002,1,27,0,0.011380214
214,214,speaker254_0005,speaker254_0005,1,1,1,0.9913391
215,215,speaker302_0003,speaker302_0003,1,80,1,0.5862884
216,216,speaker068_0006,speaker068_0006,1,15,1,0.6199878
217,217,speaker208_0005,speaker208_0027,0,11,1,0.028539199999999987
218,218,speaker184_0018,speaker184_0002,0,43,0,0.9979285374
219,219,speaker144_0001,speaker144_0001,1,0,1,0.9809041
220,220,speaker185_0011,speaker185_0011,1,47,1,0.74588794
221,221,speaker057_0033,speaker057_0015,0,15,0,0.9976751963
222,222,speaker207_0001,speaker207_0001,1,29,1,0.848685
223,223,speaker189_0004,speaker150_0000,0,24,0,0.966905944
224,224,speaker163_0002,speaker163_0002,1,35,1,0.8814098
225,225,speaker141_0000,speaker141_0000,1,50,0,0.23157829
226,226,speaker278_0001,speaker278_0001,0,28,0,0.9982932576
227,227,speaker164_0001,speaker164_0001,1,41,1,0.9450838
228,228,speaker039_0004,speaker039_0001,0,7,0,0.9992815737
229,229,speaker141_0001,speaker141_0003,0,48,0,0.9959560405
230,230,speaker146_0001,speaker146_0001,1,0,1,0.9884947
231,231,speaker298_0005,speaker298_0000,0,67,0,0.97869803
232,232,speaker311_0001,speaker311_0001,1,26,0,0.18630432
233,233,speaker309_0004,speaker309_0004,1,95,1,0.909154
234,234,speaker103_0000,speaker103_0000,0,116,0,0.8092314700000001
235,235,speaker095_0000,speaker095_0000,1,116,1,0.6669255
236,236,speaker249_0000,speaker249_0000,1,63,1,0.92888254
237,237,speaker274_0006,speaker274_0006,0,56,0,0.90407603
238,238,speaker256_0002,speaker256_0002,0,99,0,0.99960382062
239,239,speaker068_0006,speaker068_0006,1,80,1,0.98304695
240,240,speaker047_0019,speaker047_0019,0,23,0,0.9996141418
241,241,speaker046_0005,speaker267_0001,0,47,0,0.9984738191
242,242,speaker145_0004,speaker145_0004,1,86,1,0.9615295
243,243,speaker242_0002,speaker242_0002,1,44,1,0.95055807
244,244,speaker014_0007,speaker014_0014,0,56,0,0.70376635
245,245,speaker068_0002,speaker068_0002,0,134,0,0.989989279
246,246,speaker227_0000,speaker274_0008,0,27,0,0.9982317623
247,247,speaker313_0001,speaker313_0001,1,27,1,0.8882032
248,248,speaker295_0001,speaker295_0000,0,78,1,0.3703522
249,249,speaker185_0006,speaker185_0007,0,171,0,0.9993065875
250,250,speaker134_0003,speaker134_0003,1,34,0,0.32919177
251,251,speaker300_0000,speaker300_0000,0,29,0,0.98354036
252,252,speaker299_0002,speaker318_0000,0,98,0,0.936519735
253,253,speaker152_0005,speaker152_0005,1,21,0,0.0588836
254,254,speaker224_0018,speaker224_0018,1,23,0,0.22549412
255,255,speaker224_0005,speaker224_0005,1,157,1,0.81946766
256,256,speaker267_0001,speaker201_0007,0,5,0,0.99940793123
257,257,speaker196_0000,speaker196_0000,1,21,1,0.7963421
258,258,speaker197_0008,speaker197_0008,1,28,0,0.047976755
259,259,speaker328_0001,speaker139_0009,0,39,0,0.9981474871
260,260,speaker116_0000,speaker116_0000,0,12,0,0.998871723
261,261,speaker282_0010,speaker282_0010,1,94,1,0.80793875
262,262,speaker310_0007,speaker310_0005,0,11,0,0.9992129344
263,263,speaker005_0023,speaker005_0013,0,122,0,0.54558036
264,264,speaker210_0002,speaker210_0002,0,70,0,0.6512483
265,265,speaker295_0000,speaker295_0000,0,127,0,0.9990967157
266,266,speaker197_0001,speaker197_0001,0,17,0,0.9988919524
267,267,speaker300_0000,speaker300_0000,0,110,1,0.11330229999999997
268,268,speaker006_0022,speaker006_0022,1,49,1,0.86423177
269,269,speaker018_0010,speaker018_0010,1,25,1,0.6123747
270,270,speaker270_0004,speaker249_0000,0,43,1,0.06485825999999995
271,271,speaker188_0001,speaker188_0001,0,111,0,0.80556546
272,272,speaker212_0008,speaker212_0020,0,35,0,0.998873311
273,273,speaker052_0021,speaker052_0003,0,25,1,0.5275034000000001
274,274,speaker014_0002,speaker139_0008,0,110,0,0.967045624
275,275,speaker242_0003,speaker242_0002,0,7,0,0.990623962
276,276,speaker218_0004,speaker218_0004,1,12,1,0.94342476
277,277,speaker116_0000,speaker116_0000,0,3,0,0.9994453773
278,278,speaker274_0001,speaker263_0001,0,74,0,0.918114685
279,279,speaker232_0002,speaker232_0002,0,17,0,0.99913358846
280,280,speaker309_0001,speaker309_0001,0,71,0,0.94090817
281,281,speaker228_0001,speaker228_0001,1,87,1,0.62867486
282,282,speaker328_0004,speaker159_0000,0,120,0,0.988942627
283,283,speaker062_0002,speaker062_0002,1,75,1,0.9883386
284,284,speaker318_0001,speaker318_0001,1,30,0,0.2954543
285,285,speaker189_0007,speaker189_0007,1,45,0,0.0152508225
286,286,speaker299_0000,speaker299_0000,1,86,1,0.9832413
287,287,speaker282_0003,speaker282_0002,0,79,0,0.9974520234
288,288,speaker136_0001,speaker136_0000,0,21,0,0.92629946
289,289,speaker274_0001,speaker274_0001,0,12,0,0.68377897
290,290,speaker146_0001,speaker146_0001,1,143,0,0.020201
291,291,speaker145_0005,speaker138_0024,0,28,0,0.69682914
292,292,speaker310_0001,speaker310_0001,1,6,1,0.9794259
293,293,speaker046_0002,speaker046_0000,0,23,0,0.990444271
294,294,speaker283_0001,speaker283_0004,0,120,0,0.9984483566
295,295,speaker134_0001,speaker090_0000,0,17,0,0.7597096999999999
296,296,speaker139_0008,speaker139_0008,1,97,0,0.19764037
297,297,speaker319_0000,speaker319_0000,1,96,1,0.9830674
298,298,speaker047_0012,speaker047_0012,1,54,1,0.76314557
299,299,speaker212_0020,speaker234_0022,0,189,0,0.9996111989
300,300,speaker246_0000,speaker188_0000,0,59,0,0.983263655
301,301,speaker235_0002,speaker064_0001,0,40,0,0.9980498701
302,302,speaker155_0003,speaker155_0005,0,16,0,0.9979480465
303,303,speaker127_0003,speaker127_0003,1,10,1,0.9392192
304,304,speaker261_0000,speaker169_0003,0,9,0,0.995995012
305,305,speaker292_0011,speaker292_0011,1,118,1,0.6493709
306,306,speaker113_0000,speaker113_0000,0,28,0,0.90547506
307,307,speaker204_0002,speaker127_0004,0,5,0,0.99956425815
308,308,speaker295_0001,speaker268_0002,0,62,0,0.9988929167
309,309,speaker313_0004,speaker313_0004,0,84,0,0.9941750527
310,310,speaker077_0003,speaker077_0001,0,40,0,0.6270939
311,311,speaker113_0000,speaker113_0000,1,8,1,0.99341697
312,312,speaker059_0001,speaker059_0001,1,33,0,0.3552771
313,313,speaker247_0004,speaker247_0004,1,30,1,0.9860037
314,314,speaker207_0003,speaker207_0003,1,48,1,0.7633786
315,315,speaker246_0000,speaker246_0000,1,33,0,0.04807199
316,316,speaker057_0027,speaker057_0027,1,35,1,0.91195625
317,317,speaker052_0009,speaker052_0009,1,11,1,0.5207111
318,318,speaker254_0001,speaker254_0001,1,174,1,0.99003583
319,319,speaker212_0006,speaker212_0006,1,40,0,0.3455938
320,320,speaker224_0002,speaker224_0002,1,14,1,0.9897544
321,321,speaker207_0002,speaker207_0002,1,19,1,0.72544324
322,322,speaker319_0001,speaker319_0000,0,48,1,0.17521613999999996
323,323,speaker272_0000,speaker272_0000,1,8,1,0.9963084
324,324,speaker150_0000,speaker150_0002,0,14,1,0.039280830000000044
325,325,speaker116_0000,speaker116_0000,1,13,1,0.91777587
326,326,speaker267_0001,speaker267_0001,0,9,0,0.912758544
327,327,speaker014_0018,speaker014_0004,0,7,0,0.9993720057
328,328,speaker300_0000,speaker141_0002,0,122,0,0.9975147161
329,329,speaker148_0001,speaker148_0000,0,27,0,0.97085622
330,330,speaker196_0001,speaker196_0001,1,11,1,0.79645765
331,331,speaker272_0001,speaker272_0002,0,58,0,0.9993545251
332,332,speaker109_0001,speaker282_0006,0,25,0,0.7959606
333,333,speaker092_0000,speaker092_0000,1,10,1,0.7734486
334,334,speaker274_0008,speaker274_0008,1,58,1,0.8976
335,335,speaker303_0005,speaker303_0005,1,85,1,0.6548921
336,336,speaker291_0002,speaker291_0002,1,50,0,0.2052391
337,337,speaker139_0008,speaker139_0006,0,23,0,0.59542856
338,338,speaker249_0000,speaker249_0000,1,39,1,0.98629147
339,339,speaker138_0013,speaker138_0013,1,9,1,0.972841
340,340,speaker299_0005,speaker299_0001,0,97,0,0.69029292
341,341,speaker049_0029,speaker049_0029,0,46,0,0.9995444643
342,342,speaker040_0001,speaker278_0000,0,13,0,0.99907504534
343,343,speaker282_0013,speaker282_0013,1,31,1,0.94679517
344,344,speaker110_0000,speaker110_0000,1,2,1,0.9914845
345,345,speaker102_0001,speaker102_0001,1,37,0,0.21177971
346,346,speaker116_0000,speaker116_0000,0,48,0,0.99952419384
347,347,speaker188_0007,speaker188_0007,0,31,0,0.5782599399999999
348,348,speaker062_0003,speaker062_0003,0,27,0,0.99958965665
349,349,speaker199_0005,speaker199_0005,1,54,1,0.6601623
350,350,speaker228_0001,speaker228_0001,1,50,0,0.11984615
351,351,speaker159_0000,speaker159_0000,1,24,1,0.9939821
352,352,speaker014_0015,speaker014_0015,1,92,1,0.8937721
353,353,speaker185_0011,speaker185_0011,0,3,0,0.99951370183
354,354,speaker218_0003,speaker218_0005,0,7,1,0.24708896999999996
355,355,speaker069_0003,speaker046_0004,0,3,0,0.998994381
356,356,speaker095_0000,speaker095_0000,1,120,1,0.74950564
357,357,speaker052_0005,speaker306_0001,0,47,1,0.37458366
358,358,speaker210_0002,speaker210_0000,0,23,0,0.83932646
359,359,speaker234_0001,speaker234_0001,1,71,1,0.4886034
360,360,speaker261_0000,speaker261_0000,1,4,1,0.9100201
361,361,speaker049_0016,speaker049_0016,1,74,1,0.9836753
362,362,speaker092_0000,speaker092_0001,0,3,0,0.9995415701
363,363,speaker166_0009,speaker166_0009,1,25,0,0.020969618
364,364,speaker263_0000,speaker263_0000,1,40,0,0.39867216
365,365,speaker144_0002,speaker144_0002,1,14,1,0.690933
366,366,speaker299_0004,speaker299_0004,1,91,0,0.28521162
367,367,speaker062_0001,speaker062_0001,0,24,0,0.87569016
368,368,speaker274_0002,speaker274_0002,1,54,1,0.7089498
369,369,speaker090_0000,speaker090_0000,0,35,0,0.99917693133
370,370,speaker046_0002,speaker046_0007,0,6,0,0.9986349388
371,371,speaker076_0003,speaker076_0004,0,4,0,0.99934600113
372,372,speaker061_0031,speaker061_0022,0,83,0,0.84607863
373,373,speaker040_0011,speaker040_0011,1,138,1,0.5341414
374,374,speaker316_0007,speaker316_0000,0,15,0,0.83655904
375,375,speaker166_0006,speaker166_0006,1,5,1,0.97367513
376,376,speaker298_0007,speaker298_0003,0,7,0,0.996302357
377,377,speaker328_0001,speaker328_0001,1,35,1,0.84011334
378,378,speaker061_0014,speaker061_0014,1,7,1,0.9888689
379,379,speaker047_0006,speaker047_0020,0,10,0,0.88756666
380,380,speaker235_0000,speaker235_0002,0,12,0,0.84656858
381,381,speaker111_0002,speaker064_0001,0,158,0,0.80931859
382,382,speaker047_0023,speaker047_0023,1,15,0,0.101359844
383,383,speaker318_0000,speaker318_0000,0,66,1,0.17265549999999996
384,384,speaker076_0003,speaker076_0003,1,90,0,0.3641906
385,385,speaker224_0034,speaker224_0034,1,130,1,0.49398565
386,386,speaker272_0002,speaker272_0002,1,63,1,0.95272255
387,387,speaker076_0003,speaker076_0003,0,25,0,0.82001346
388,388,speaker313_0008,speaker313_0008,1,69,1,0.908485
389,389,speaker090_0000,speaker212_0001,0,133,0,0.81496236
390,390,speaker144_0001,speaker144_0003,0,59,0,0.9987459203
391,391,speaker113_0000,speaker113_0000,1,38,1,0.65961504
392,392,speaker016_0000,speaker016_0000,1,48,1,0.7938208
393,393,speaker069_0002,speaker199_0006,0,153,1,0.319879
394,394,speaker319_0001,speaker319_0000,0,74,1,0.45694166
395,395,speaker274_0015,speaker309_0003,0,109,0,0.50647753
396,396,speaker196_0000,speaker196_0000,1,48,1,0.9674402
397,397,speaker139_0006,speaker066_0004,0,22,1,0.14628260000000004
398,398,speaker282_0006,speaker282_0006,1,79,1,0.77759606
399,399,speaker296_0004,speaker296_0004,1,20,0,0.39787558
400,400,speaker303_0002,speaker274_0017,0,101,0,0.99909521407
401,401,speaker310_0000,speaker310_0007,0,43,1,0.11764649999999999
402,402,speaker198_0002,speaker198_0001,0,47,0,0.9986632947
403,403,speaker014_0014,speaker014_0000,0,46,1,0.26556709999999994
404,404,speaker228_0001,speaker228_0001,1,108,1,0.9871004
405,405,speaker204_0002,speaker204_0002,0,49,0,0.9981544947
406,406,speaker005_0011,speaker005_0011,0,13,0,0.92598602
407,407,speaker144_0001,speaker144_0003,0,10,0,0.77225976
408,408,speaker232_0002,speaker232_0002,1,12,1,0.873026
409,409,speaker302_0002,speaker302_0002,1,13,0,0.14323723
410,410,speaker292_0014,speaker292_0014,0,35,0,0.5823455200000001
411,411,speaker090_0000,speaker257_0005,0,82,0,0.994426426
412,412,speaker039_0003,speaker039_0003,1,4,1,0.9681802
413,413,speaker290_0001,speaker290_0001,1,76,0,0.22406697
414,414,speaker185_0008,speaker185_0008,0,45,0,0.9994945479
415,415,speaker191_0031,speaker074_0009,0,133,0,0.988062236
416,416,speaker116_0000,speaker116_0000,1,19,1,0.9238493
417,417,speaker232_0001,speaker232_0001,0,50,0,0.993317156
418,418,speaker136_0000,speaker189_0009,0,7,0,0.98210859
419,419,speaker184_0006,speaker168_0000,0,17,0,0.996904107
420,420,speaker141_0005,speaker141_0000,0,11,0,0.9987979059
421,421,speaker094_0003,speaker094_0003,1,87,0,0.07810481
422,422,speaker143_0013,speaker143_0013,1,51,1,0.99343276
423,423,speaker169_0005,speaker169_0005,1,12,1,0.8643743
424,424,speaker207_0003,speaker207_0003,1,3,1,0.9932968
425,425,speaker118_0000,speaker118_0000,0,49,0,0.9980563693
426,426,speaker059_0001,speaker059_0001,1,62,1,0.9888871
427,427,speaker057_0010,speaker103_0005,0,20,0,0.88565086
428,428,speaker004_0033,speaker004_0033,1,7,1,0.9862248
429,429,speaker291_0003,speaker291_0003,1,7,1,0.9879667
430,430,speaker291_0002,speaker291_0002,0,64,0,0.9984044255
